transaction_unique_identifier,transaction_lot_number,transaction_lot_amount
1,1,4
1,2,10
1,3,8
1,4,11
1,5,19
1,6,8
1,7,12
1,8,14
1,9,16
1,10,20
1,11,15
1,12,20
1,13,17
1,14,4
1,15,6
1,16,6
1,17,13
1,18,7
1,19,19
1,20,5
2,1,14
2,2,15
2,3,14
2,4,15
2,5,15
2,6,10
2,7,1
2,8,14
2,9,5
2,10,3
2,11,17
2,12,18
2,13,19
2,14,2
2,15,9
2,16,17
2,17,3
2,18,17
2,19,6
2,20,15
3,1,5
3,2,15
3,3,2
3,4,1
3,5,16
3,6,4
3,7,3
3,8,5
3,9,18
3,10,13
3,11,4
3,12,9
3,13,16
3,14,18
3,15,13
3,16,2
3,17,15
3,18,17
3,19,16
3,20,1
4,1,17
4,2,19
4,3,7
4,4,15
4,5,1
4,6,4
4,7,5
4,8,9
4,9,14
4,10,6
4,11,18
4,12,10
4,13,4
4,14,1
4,15,15
4,16,4
4,17,3
4,18,5
4,19,7
4,20,9
5,1,3
5,2,4
5,3,20
5,4,18
5,5,5
5,6,18
5,7,15
5,8,6
5,9,12
5,10,2
5,11,4
5,12,19
5,13,7
5,14,14
5,15,17
5,16,15
5,17,13
5,18,16
5,19,2
5,20,10
6,1,18
6,2,7
6,3,14
6,4,17
6,5,16
6,6,7
6,7,4
6,8,13
6,9,14
6,10,14
6,11,5
6,12,9
6,13,6
6,14,19
6,15,7
6,16,18
6,17,18
6,18,12
6,19,11
6,20,19
7,1,16
7,2,2
7,3,14
7,4,15
7,5,6
7,6,18
7,7,19
7,8,14
7,9,4
7,10,19
7,11,11
7,12,12
7,13,18
7,14,13
7,15,16
7,16,3
7,17,15
7,18,2
7,19,13
7,20,16
8,1,8
8,2,8
8,3,6
8,4,7
8,5,8
8,6,1
8,7,17
8,8,18
8,9,19
8,10,16
8,11,19
8,12,7
8,13,14
8,14,5
8,15,12
8,16,15
8,17,18
8,18,14
8,19,8
8,20,18
9,1,19
9,2,18
9,3,4
9,4,18
9,5,14
9,6,20
9,7,19
9,8,19
9,9,17
9,10,10
9,11,14
9,12,18
9,13,19
9,14,7
9,15,18
9,16,11
9,17,7
9,18,17
9,19,11
9,20,16
10,1,13
10,2,3
10,3,16
10,4,5
10,5,6
10,6,19
10,7,17
10,8,7
10,9,10
10,10,4
10,11,1
10,12,17
10,13,5
10,14,14
10,15,13
10,16,8
10,17,11
10,18,13
10,19,3
10,20,12
11,1,7
11,2,9
11,3,6
11,4,6
11,5,15
11,6,1
11,7,5
11,8,15
11,9,20
11,10,14
11,11,3
11,12,4
11,13,7
11,14,7
11,15,4
11,16,15
11,17,17
11,18,7
11,19,4
